Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
BlockDAG,https://www.crunchbase.com/organization/blockdag,1/1/2023,Antony Turner,11-50,BlockDAG is a layer1 blockchain company.,"Blockchain, Cryptocurrency, Information Technology, Web3","Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Other, Payments, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,,1,"$410,000,000.00",USD,2/29/2024,Initial Coin Offering,"$410,000,000.00",USD,,,2/3/2025,,1.1,1.1,5.4,113.00%,N,0,,
Trio,https://www.crunchbase.com/organization/trio-d927,1/1/2024,"Javad Zaeri Kamran, Saeid Alirezaei",11-50,"AI-optimized UEM/MDM for IT teams. Trio helps secure, automate, and monitor devices across business and education.","Artificial Intelligence (AI), Asset Management, Cloud Security, Compliance, Education, Enterprise Software, Health Care, Information Technology, Mobile Devices, SaaS","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Education, Financial Services, Hardware, Health Care, Information Technology, Mobile, Privacy and Security, Professional Services, Science and Engineering, Software","California City, California, United States","West Coast, Western US",91723,"Indigenous Founded, Middle Eastern / North African Founded",,Active,Seed,3,"$750,000.00",USD,1/1/2025,Seed,"$2,000,000.00",USD,,,,,0.6,4.0,7.0,7.00%,N,0,,
World Labs,https://www.crunchbase.com/organization/world-labs,1/1/2024,"Ben Mildenhall, Christoph Lassner, Fei-Fei Li, Justin Johnson",11-50,World Labs develops AI models with spatial intelligence for 3D world perception and interaction.,"3D Technology, Artificial Intelligence (AI), Generative AI, Information Technology","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,"Women Founded, Women Led",,Active,,2,"$230,000,000.00",USD,9/13/2024,Venture - Series Unknown,"$230,000,000.00",USD,3,"Andreessen Horowitz, New Enterprise Associates, Radical Ventures, Salesforce Ventures, NVentures",,,2.6,-0.5,-0.5,48.00%,Y,0,6,
Prompt Security,https://www.crunchbase.com/organization/prompt-security,8/1/2023,"Itamar Golan, Lior Drihem",11-50,Prompt Security enables organizations to adopt Generative AI safely and securely with a complete platform for GenAI Security.,"Artificial Intelligence (AI), Cyber Security, Generative AI","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10018,,$1M to $10M,Active,M&A,2,"$18,000,000.00",USD,11/20/2024,Series A,"$23,000,000.00",USD,2,"Okta Ventures, Ridge Ventures, Hetz Ventures, Jump Capital, F5",,,-1.4,-3.9,5.0,70.00%,Y,0,60,
0G,https://www.crunchbase.com/organization/0g-labs,1/1/2023,"Fan Long, Michael Heinrich, Ming Wu, Thomas Yao",11-50,0G is a technology startup + foundation developing a web3 modular infrastructure platform to build applications on low-latency data feeds.,"Artificial Intelligence (AI), Blockchain, Web3","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Internet Services, Other, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,,3,"$250,000,000.00",USD,11/13/2024,Initial Coin Offering,"$325,000,000.00",USD,2,"Alumni Ventures, Polygon, Samsung NEXT, Abstract, dao5",,,8.0,7.7,5.4,69.00%,N,0,,
Mindtrip,https://www.crunchbase.com/organization/mindtrip,1/1/2023,"Andy Moss, Elsa Kawai, Garrick Toubassi, Jordan Castillo, Katherine Wang, Manish Dubey, Mika Kozma, Rob Davis, Trey Matteson, Vincent Lo",11-50,Mindtrip operates as an AI assistant that provide travel data that includes maps with suggested places to visit.,"Artificial Intelligence (AI), Software, Travel","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,Women Founded,,Active,Seed,2,"$12,000,000.00",USD,9/17/2024,Seed,"$19,000,000.00",USD,2,"Forerunner, Costanoa Ventures, Amex Ventures",,,0.0,-2.0,-4.1,39.00%,N,0,,
StackGen,https://www.crunchbase.com/organization/stackgen,7/1/2023,"Asif Awan, Sachin Aggarwal",11-50,Generative Infrastructure from Code,"Information Technology, Software","Information Technology, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$12,300,000.00",USD,9/10/2024,Seed,"$12,300,000.00",USD,1,"Thomvest Ventures, WestWave Capital, Firebolt Ventures, Secure Octane",,,1.0,-3.2,7.4,38.00%,N,0,,no openings but can send resume to  jobs@stackgen.com
Vayu,https://www.crunchbase.com/organization/vayu-ee69,1/1/2023,"Erez Agmon, Shai Gross, Shenhav Avidar",11-50,The first finance-native pricing & billing automation for flexible revenue management,"Billing, Data Management, Software","Data and Analytics, Payments, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10010,Women Founded,,Active,Seed,1,"$7,000,000.00",USD,1/1/2025,Seed,"$7,000,000.00",USD,2,"Garage Capital, Flint Capital, fresh.fund, Secret Chord Ventures, Ziv Paz",,,-0.3,7.7,9.3,71.00%,Y,0,1,
Sahara AI,https://www.crunchbase.com/organization/sahara-ai,1/1/2023,"Sean Ren, Tyler Zhou",11-50,"Sahara AI is a decentralized AI network that enables freely and securely deploy autonomous AI with high-performance, privacy-first network.","Artificial Intelligence (AI), Blockchain, Decentralized Finance (DeFi), Web3","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Internet Services, Other, Science and Engineering, Software","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",,,,Active,Early Stage Venture,2,"$37,000,000.00",USD,8/14/2024,Series A,"$43,000,000.00",USD,4,"Alumni Ventures, YZi Labs, Sequoia Capital, Samsung NEXT, Pantera Capital",,,-0.4,-0.8,5.0,43.00%,Y,0,8,15 jobs past 5 months
Tuskira,https://www.crunchbase.com/organization/tuskira,1/1/2024,"Om Moolchandani, Piyush Sharrma, Vipul Parmar",11-50,"Tuskira's Agentic AI Security Mesh integrates data from over 150 tools, streamlining operations and enhancing existing defenses.","Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Technical Support","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Other, Privacy and Security, Science and Engineering, Software","Danville, California, United States","San Francisco Bay Area, West Coast, Western US",94506,,$1M to $10M,Active,Early Stage Venture,2,"$28,500,000.00",USD,12/4/2024,Series A,"$30,500,000.00",USD,3,"Sorenson Capital, SYN Ventures, Wipro Ventures, Rain Capital, Intel Capital",,,0.3,1.8,2.7,84.00%,N,0,,
