headquarters_region,startup_count,total_funding,avg_funding
California,583,25045975758.0,42960507.3
New York,237,4516946514.0,19058846.05
Delaware,102,1447395356.0,14190150.55
Texas,94,2689208289.0,28608598.82
Florida,94,3733024657.0,39713028.27
Massachusetts,63,3892220879.0,61781283.79
Washington,45,681218926.0,15138198.36
Colorado,41,502604473.0,12258645.68
Illinois,34,398808672.0,11729666.82
Virginia,20,187689780.0,9384489.0
Utah,19,178659979.0,9403156.79
Ohio,19,51756766.0,2724040.32
New Jersey,16,77603110.0,4850194.38
Georgia,15,603144322.0,40209621.47
Nevada,13,301771300.0,23213176.92
Arizona,13,65558998.0,5042999.85
North Carolina,13,184779022.0,14213770.92
Tennessee,13,437050442.0,33619264.77
Michigan,11,39712441.0,3610221.91
Maryland,11,442221693.0,40201972.09
District of Columbia,11,167739328.0,15249029.82
Indiana,10,123331096.0,12333109.6
Pennsylvania,9,489932782.0,54436975.78
South Carolina,9,39265000.0,4362777.78
Connecticut,9,342811546.0,38090171.78
Oregon,9,101909954.0,11323328.22
Wyoming,8,33338338.0,4167292.25
Kentucky,8,106964832.0,13370604.0
Wisconsin,5,21623300.0,4324660.0
Idaho,5,30246900.0,6049380.0
Nebraska,5,14875000.0,2975000.0
Alabama,4,17225000.0,4306250.0
Minnesota,3,13499999.0,4499999.67
Oklahoma,3,88220000.0,29406666.67
Iowa,3,3132000.0,1044000.0
New Mexico,3,46600000.0,15533333.33
Vermont,2,31600000.0,15800000.0
Maine,2,28000000.0,14000000.0
Montana,2,6399401.0,3199700.5
Alaska,2,11000000.0,5500000.0
Kansas,2,2149999.0,1074999.5
Mississippi,1,200000.0,200000.0
Arkansas,1,700000000.0,700000000.0
Rhode Island,1,13000000.0,13000000.0
New Hampshire,1,33000000.0,33000000.0
Missouri,1,41000000.0,41000000.0
Louisiana,1,400000.0,400000.0
