Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Region_Local,Region_Mid,Region_Broad,Industry_Category
BlockDAG,https://www.crunchbase.com/organization/blockdag,2023-01-01,Antony Turner,11-50,BlockDAG is a layer1 blockchain company.,"Blockchain, Cryptocurrency, Information Technology, Web3","Blockchain and Cryptocurrency, Financial Services, Information Technology, Internet Services, Other, Payments, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Unknown,1,410000000.0,USD,2024-02-29,Initial Coin Offering,410000000.0,USD,0.0,Unknown,1.1,1.1,5.4,113.00%,N,San Francisco Bay Area,West Coast,Western US,Fintech
Trio,https://www.crunchbase.com/organization/trio-d927,2024-01-01,"Javad Zaeri Kamran, Saeid Alirezaei",11-50,"AI-optimized UEM/MDM for IT teams. Trio helps secure, automate, and monitor devices across business and education.","Artificial Intelligence (AI), Asset Management, Cloud Security, Compliance, Education, Enterprise Software, Health Care, Information Technology, Mobile Devices, SaaS","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Education, Financial Services, Hardware, Health Care, Information Technology, Mobile, Privacy and Security, Professional Services, Science and Engineering, Software","California City, California, United States","West Coast, Western US",Active,Seed,3,750000.0,USD,2025-01-01,Seed,2000000.0,USD,0.0,Unknown,0.6,4.0,7.0,7.00%,N,West Coast,Unknown,Western US,Healthcare & Biotech
World Labs,https://www.crunchbase.com/organization/world-labs,2024-01-01,"Ben Mildenhall, Christoph Lassner, Fei-Fei Li, Justin Johnson",11-50,World Labs develops AI models with spatial intelligence for 3D world perception and interaction.,"3D Technology, Artificial Intelligence (AI), Generative AI, Information Technology","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Unknown,2,230000000.0,USD,2024-09-13,Venture - Series Unknown,230000000.0,USD,3.0,"Andreessen Horowitz, New Enterprise Associates, Radical Ventures, Salesforce Ventures, NVentures",2.6,-0.5,-0.5,48.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Prompt Security,https://www.crunchbase.com/organization/prompt-security,2023-08-01,"Itamar Golan, Lior Drihem",11-50,Prompt Security enables organizations to adopt Generative AI safely and securely with a complete platform for GenAI Security.,"Artificial Intelligence (AI), Cyber Security, Generative AI","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,M&A,2,18000000.0,USD,2024-11-20,Series A,23000000.0,USD,2.0,"Okta Ventures, Ridge Ventures, Hetz Ventures, Jump Capital, F5",-1.4,-3.9,5.0,70.00%,Y,Greater New York Area,East Coast,Northeastern US,AI & Data
0G,https://www.crunchbase.com/organization/0g-labs,2023-01-01,"Fan Long, Michael Heinrich, Ming Wu, Thomas Yao",11-50,0G is a technology startup + foundation developing a web3 modular infrastructure platform to build applications on low-latency data feeds.,"Artificial Intelligence (AI), Blockchain, Web3","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Internet Services, Other, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Unknown,3,250000000.0,USD,2024-11-13,Initial Coin Offering,325000000.0,USD,2.0,"Alumni Ventures, Polygon, Samsung NEXT, Abstract, dao5",8.0,7.7,5.4,69.00%,N,San Francisco Bay Area,West Coast,Western US,Fintech
Mindtrip,https://www.crunchbase.com/organization/mindtrip,2023-01-01,"Andy Moss, Elsa Kawai, Garrick Toubassi, Jordan Castillo, Katherine Wang, Manish Dubey, Mika Kozma, Rob Davis, Trey Matteson, Vincent Lo",11-50,Mindtrip operates as an AI assistant that provide travel data that includes maps with suggested places to visit.,"Artificial Intelligence (AI), Software, Travel","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,2,12000000.0,USD,2024-09-17,Seed,19000000.0,USD,2.0,"Forerunner, Costanoa Ventures, Amex Ventures",0.0,-2.0,-4.1,39.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
StackGen,https://www.crunchbase.com/organization/stackgen,2023-07-01,"Asif Awan, Sachin Aggarwal",11-50,Generative Infrastructure from Code,"Information Technology, Software","Information Technology, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,12300000.0,USD,2024-09-10,Seed,12300000.0,USD,1.0,"Thomvest Ventures, WestWave Capital, Firebolt Ventures, Secure Octane",1.0,-3.2,7.4,38.00%,N,San Francisco Bay Area,West Coast,Western US,Enterprise Software
Vayu,https://www.crunchbase.com/organization/vayu-ee69,2023-01-01,"Erez Agmon, Shai Gross, Shenhav Avidar",11-50,The first finance-native pricing & billing automation for flexible revenue management,"Billing, Data Management, Software","Data and Analytics, Payments, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,7000000.0,USD,2025-01-01,Seed,7000000.0,USD,2.0,"Garage Capital, Flint Capital, fresh.fund, Secret Chord Ventures, Ziv Paz",-0.3,7.7,9.3,71.00%,Y,Greater New York Area,East Coast,Northeastern US,Enterprise Software
Sahara AI,https://www.crunchbase.com/organization/sahara-ai,2023-01-01,"Sean Ren, Tyler Zhou",11-50,"Sahara AI is a decentralized AI network that enables freely and securely deploy autonomous AI with high-performance, privacy-first network.","Artificial Intelligence (AI), Blockchain, Decentralized Finance (DeFi), Web3","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Internet Services, Other, Science and Engineering, Software","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Early Stage Venture,2,37000000.0,USD,2024-08-14,Series A,43000000.0,USD,4.0,"Alumni Ventures, YZi Labs, Sequoia Capital, Samsung NEXT, Pantera Capital",-0.4,-0.8,5.0,43.00%,Y,Greater Los Angeles Area,West Coast,Western US,Fintech
Tuskira,https://www.crunchbase.com/organization/tuskira,2024-01-01,"Om Moolchandani, Piyush Sharrma, Vipul Parmar",11-50,"Tuskira's Agentic AI Security Mesh integrates data from over 150 tools, streamlining operations and enhancing existing defenses.","Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Technical Support","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Other, Privacy and Security, Science and Engineering, Software","Danville, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,2,28500000.0,USD,2024-12-04,Series A,30500000.0,USD,3.0,"Sorenson Capital, SYN Ventures, Wipro Ventures, Rain Capital, Intel Capital",0.3,1.8,2.7,84.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
